symbol,datestart,dateend,start,end,opening,closing,highest,lowest,volume,pvolume,svolume,nmatches,BBAND20UP,BBAND20DOWN,EMA20,EMA50,EMA100,MACD,MACDSIGNAL,MACDHISTOG,ROCP5,ROCP10,ROCP20,RSI6,RSI12,RSI24,SMA5,SMA10,SMA20,SMA50,SMA200,ASKS1P,ASKS1S,ASKS2P,ASKS2S,ASKS3P,ASKS3S,ASKS4P,ASKS4S,ASKS5P,ASKS5S,BIDS1P,BIDS1S,BIDS2P,BIDS2S,BIDS3P,BIDS3S,BIDS4P,BIDS4S,BIDS5P,BIDS5S
LTC-BTC,2019-07-20T10:34:16,2019-07-20T10:35:16,1563618856,1563618916,0.009361,0.009361,0.009363,0.009361,193.495734,71.165868,122.329866,43,0.009413571892665062,0.009316828107334946,0.0093651980145868,0.009372984814109876,0.009372948583088864,-5.84524024814688e-06,-7.447047575041668e-06,1.601807326894788e-06,-0.042712226374805456,0.22483940042826753,-0.4042983296095312,48.88515638035085,45.62251824933957,45.58871323022916,0.009364799999999996,0.009357300000000004,0.009365200000000004,0.009376960000000005,0.009363009999999998,0.009366,0.025235,0.009368,3.28,0.009374,0.001234,0.009375,0.021363,0.009377,8.489041,0.009355,13.545354,0.009354,5.7415,0.009348,24.023,0.009347,3.893333,0.009346,9.318324
LTC-BTC,2019-07-20T10:35:16,2019-07-20T10:36:16,1563618916,1563618976,0.009361,0.009358,0.009358,0.009357,202.746205,56.11834,146.627865,49,0.009409029298163772,0.009317270701836236,0.009364512489388058,0.00937239717434086,0.00937265257154255,-5.717263428949362e-06,-7.101090745823206e-06,1.3838273168738438e-06,-0.14938113529662958,0.22491164185498752,-0.46798553499256146,43.643697037957345,43.53981151636941,44.575287910228205,0.009363399999999996,0.009359100000000006,0.009363150000000004,0.009377000000000005,0.009363064999999999,0.009366,5.666167,0.009367,3.305235,0.009371,8.49925,0.009372,24.04437,0.009374,3.959999,0.009351,13.558935,0.00935,2.6,0.009349,6.022279,0.009344,21.106401,0.009343,24.023
LTC-BTC,2019-07-20T10:36:16,2019-07-20T10:37:16,1563618976,1563619036,0.009358,0.009365,0.009365,0.009357,150.168254,76.344292,73.823962,45,0.009403608864319436,0.009318991135680577,0.009364558918970148,0.009372107089072592,0.0093725010354724,-4.993438132665576e-06,-6.67956022319168e-06,1.6861220905261042e-06,0,0.18185708172870832,-0.4253056884635843,56.65618585689088,49.417596260792465,47.42109927628145,0.009361999999999995,0.009361900000000005,0.009361300000000006,0.009377200000000006,0.009363159999999999,0.009372,3.28,0.009374,0.026469,0.009377,0.021358,0.009382,2.6,0.009384,24.023,0.009358,5.7415,0.009356,26.754931,0.009353,2.168374,0.009352,8.554369,0.009349,0.021358
LTC-BTC,2019-07-20T10:37:16,2019-07-20T10:38:16,1563619036,1563619096,0.009365,0.009372,0.009372,0.009362,147.244308,95.761808,51.4825,37,0.00939733434688303,0.009321965653116982,0.009365267593353944,0.009372102889501119,0.009372491113977897,-3.811028705291014e-06,-6.105853919611547e-06,2.294825214320533e-06,0.1175088131609934,0.1175088131609934,-0.36147140123324806,66.06011734915103,54.576319564655414,50.094911471835545,0.009363399999999996,0.009364300000000006,0.009359650000000006,0.009377480000000006,0.009363259999999998,0.009374,0.001234,0.009377,1.069861,0.00938,5.658729,0.009382,2.6,0.009384,24.04434,0.00937,43.2848,0.009358,2.6,0.009357,1.089071,0.009356,24.023,0.009354,2.400768
LTC-BTC,2019-07-20T10:38:16,2019-07-20T10:39:16,1563619096,1563619156,0.009372,0.009374,0.009374,0.009366,186.591443,101.787884,84.803559,50,0.009390009192730735,0.009326090807269274,0.009366099251129759,0.009372177285991271,0.009372520992909028,-2.6816648666886517e-06,-5.421016109026968e-06,2.7393512423383163e-06,0.13887405191753935,0.11748371248532087,-0.32961190855927464,68.40999488269802,55.97576229985241,50.840234537106596,0.009365999999999996,0.009365600000000005,0.009358050000000005,0.009377600000000007,0.009363319999999998,0.009378,5.658283,0.009379,3.28,0.009382,2.6,0.009384,13.969548,0.009385,5.669331,0.009374,7.912615,0.009364,10.838975,0.009361,2.933077,0.00936,3.1415,0.009358,4.999744
LTC-BTC,2019-07-20T10:39:16,2019-07-20T10:40:16,1563619156,1563619216,0.009374,0.009375,0.009375,0.009374,197.84471,82.79659,115.04812,47,0.009381629673044126,0.009331470326955884,0.009366946941498354,0.00937228798065828,0.009372570082158355,-1.686503285257962e-06,-4.674113544273167e-06,2.987610259015205e-06,0.1816627484505199,0.10678056593699513,0.39623045620045877,69.66996168394458,56.70335053305576,51.220329403797116,0.009368799999999995,0.009366800000000005,0.009356550000000005,0.009377600000000007,0.009363414999999996,0.009377,1.069861,0.009386,5.65193,0.009387,3.28,0.009388,2.6,0.009389,24.023,0.009374,7.832224,0.009367,3.236462,0.009366,3.1415,0.009365,20.308309,0.009364,13.438975
LTC-BTC,2019-07-20T10:40:16,2019-07-20T10:41:16,1563619216,1563619276,0.009375,0.009374,0.009375,0.009374,151.435216,75.147444,76.287772,52,0.009383009886455542,0.009333690113544468,0.009367618661355654,0.00937235511867168,0.00937259839736314,-9.673709546759862e-07,-3.932765026353731e-06,2.9653940716777447e-06,0.09610250934330301,0.02134016218523544,0.33179920796317863,66.48772746818526,55.69912614380495,50.81039143166055,0.009371999999999995,0.009367700000000005,0.009358350000000005,0.009377600000000007,0.009363509999999997,0.009377,3.28,0.009383,2.6,0.009385,8.48852,0.009386,24.023,0.00939,0.758931,0.009374,0.388971,0.009364,13.909476,0.009362,0.021329,0.009359,4.999616,0.009357,1.067731
LTC-BTC,2019-07-20T10:41:16,2019-07-20T10:42:16,1563619276,1563619336,0.009374,0.009379,0.009379,0.009374,192.076559,99.31447,92.762089,49,0.009385315651193646,0.009334984348806363,0.0093687025983694,0.009372615702253183,0.00937272516177179,5.936380734206104e-09,-3.1450247449361437e-06,3.15096112567035e-06,0.07469056764831479,0.14949279231180057,0.3638309256286896,73.69637021769796,59.60163909536507,52.78207008515117,0.009374799999999996,0.009368400000000004,0.009360150000000005,0.009377900000000007,0.009363624999999997,0.009384,5.65841,0.009385,13.430455,0.009386,24.023,0.009389,3.959999,0.009391,11.338031,0.009374,0.239516,0.009364,0.021324,0.009363,3.28,0.009362,2.944077,0.009359,2.399616
LTC-BTC,2019-07-20T10:42:16,2019-07-20T10:43:16,1563619336,1563619396,0.009379,0.009376,0.009376,0.009374,161.041929,43.686205,117.355724,51,0.009386760726246465,0.009336639273753543,0.009369397589000886,0.009372748419811883,0.009372790010053537,5.2911521752734e-07,-2.410196752443447e-06,2.939311969970787e-06,0.021335609131643538,0.1602392906740853,0.34246575342466584,63.81327155950843,56.352381478906416,51.489900609990045,0.009375599999999996,0.009369500000000005,0.009361700000000004,0.009377940000000006,0.009363714999999998,0.009378,2.6,0.00938,2.3426,0.009381,21.423001,0.009383,3.959999,0.009386,0.021333,0.009374,4.849254,0.009363,2.890695,0.00936,0.021333,0.009359,2.399616,0.009358,3.28
LTC-BTC,2019-07-20T10:43:16,2019-07-20T10:44:16,1563619396,1563619456,0.009376,0.009369,0.009371,0.009369,170.686451,38.77845,131.908001,58,0.009386820274401445,0.009339079725598566,0.009369359723381753,0.009372601422956515,0.009372714960349507,3.745788051297272e-07,-1.8532416409288122e-06,2.2278204460585392e-06,-0.06399999999999,0.08546095502618375,0.26755136986302136,46.39292417018415,49.48536532224655,48.59341943546814,0.009374599999999997,0.009370300000000005,0.009362950000000005,0.009378040000000008,0.009363784999999998,0.009375,5.660212,0.009376,26.623,0.009377,8.489924,0.00938,7.9906,0.009381,0.021347,0.009363,3.307993,0.009358,3.28,0.009354,0.021347,0.009349,22.825905,0.009348,27.381931
LTC-BTC,2019-07-20T10:44:16,2019-07-20T10:45:16,1563619456,1563619516,0.009369,0.009366,0.009366,0.00936,88.681843,22.706475,65.975368,30,0.00938629837072687,0.00934180162927314,0.009369039749726348,0.009372342543624887,0.009372581990837636,9.918324703206416e-09,-1.4806096478024085e-06,1.490527972505615e-06,-0.08534243652657415,0.08548835221200392,0.2783725910064238,40.68146766155227,46.81801204507131,47.400963213634114,0.009372799999999997,0.009370800000000006,0.009364050000000006,0.009377760000000008,0.009363844999999997,0.009374,2.60301,0.009375,16.747927,0.009376,24.023,0.009377,2.3426,0.009378,9.629352,0.009359,3.28,0.009355,3.226877,0.009352,0.021353,0.009349,23.897588,0.009348,24.023
LTC-BTC,2019-07-20T10:45:16,2019-07-20T10:46:16,1563619516,1563619576,0.009366,0.009361,0.009361,0.009359,140.156732,67.918723,72.238009,33,0.009384510306540606,0.009345689693459407,0.009368274059276219,0.00937189773799254,0.009372352644484414,-6.747577591028481e-07,-1.3194392700624966e-06,6.446815109596485e-07,-0.19191811493763358,-0.042712226374805456,0.2570418764056947,32.64386258449119,42.63922384224055,45.46081736678313,0.009370199999999997,0.009371100000000004,0.009365100000000006,0.009377300000000007,0.009363879999999996,0.009367,2.6,0.009369,0.001328,0.009371,14.152795,0.009372,24.023,0.009373,0.021365,0.009354,3.28,0.009351,3.059443,0.009346,0.021365,0.009344,22.833385,0.009343,24.023
LTC-BTC,2019-07-20T10:46:16,2019-07-20T10:47:16,1563619576,1563619636,0.009361,0.009362,0.009362,0.009359,216.952833,70.119796,146.833037,57,0.009380996159906275,0.009351703840093737,0.00936767652982134,0.009371509591404597,0.009372147641623337,-1.1237232634062067e-06,-1.2802960687312386e-06,1.56572805325032e-07,-0.14931740614334602,-0.10670081092615868,0.14976465554129356,35.69315112618463,43.73493175378375,45.92274637959239,0.009366799999999998,0.009370800000000004,0.009366350000000006,0.009376780000000006,0.009363914999999997,0.009371,5.660054,0.009372,24.023,0.009373,0.001328,0.009374,2.6,0.009375,0.021362,0.009355,3.007984,0.009348,2.621362,0.009345,2.403204,0.009344,20.429924,0.009343,24.023
LTC-BTC,2019-07-20T10:47:16,2019-07-20T10:48:16,1563619636,1563619696,0.009362,0.009366,0.009366,0.009362,214.084326,105.650432,108.433894,59,0.009379247916485797,0.009355252083514214,0.009367516860314546,0.009371293528996575,0.009372025906145645,-1.1435825814400113e-06,-1.2529533712729933e-06,1.0937078983298192e-07,-0.032020493115607486,-0.08534243652657415,0.05341309689135559,47.17261700926288,48.06402204835988,47.76919296434366,0.009364799999999996,0.009370200000000004,0.009367250000000006,0.009376260000000006,0.009363984999999997,0.009374,2.6,0.009376,14.142918,0.009377,24.023,0.009378,0.021356,0.009379,7.9906,0.009358,3.28,0.009357,3.318002,0.00935,0.021356,0.009349,20.447615,0.009348,26.425306
LTC-BTC,2019-07-20T10:48:16,2019-07-20T10:49:16,1563619696,1563619756,0.009366,0.009365,0.009367,0.009365,191.583502,72.839888,118.743614,46,0.009379154272724103,0.00935574572727591,0.009367277159332209,0.009371046723937886,0.009371886779291275,-1.2258816758370372e-06,-1.247539032185802e-06,2.1657356348764798e-08,-0.010676916506505076,-0.10666666666666233,0.02136067499733275,44.77478257339194,47.07617984350615,47.34745550226704,0.009363999999999996,0.009369300000000002,0.009367450000000006,0.009375780000000007,0.009364049999999997,0.009373,0.001328,0.009376,11.082945,0.009377,24.023,0.009378,0.021355,0.00938,3.684217,0.009358,3.28,0.009355,2.923687,0.009351,2.6,0.00935,0.021355,0.009349,20.447615
LTC-BTC,2019-07-20T10:49:16,2019-07-20T10:50:16,1563619756,1563619816,0.009365,0.009363,0.009363,0.009362,144.724818,48.852265,95.872553,39,0.009379154272724103,0.00935574572727591,0.00936686981082438,0.009370731166136402,0.009371710803463724,-1.4359350212957839e-06,-1.2852182300077985e-06,-1.507167912879854e-07,0.02136523875654594,-0.11734585022403021,-0.021356113187402728,39.90641682063962,45.05578351822838,46.4908610310053,0.009363399999999997,0.009368100000000002,0.009367450000000006,0.009374960000000007,0.009364109999999997,0.009368,0.001328,0.00937,5.2,0.009373,14.139912,0.009374,24.023,0.009376,0.758931,0.009356,3.28,0.00935,2.849675,0.009348,0.021362,0.009346,20.427003,0.009345,29.026204
LTC-BTC,2019-07-20T10:50:16,2019-07-20T10:51:16,1563619816,1563619876,0.009363,0.009364,0.009364,0.009363,242.998607,105.909159,137.089448,57,0.00937915414820394,0.009355645851796074,0.009366596495507772,0.009370467198836935,0.009371558114286225,-1.5043707190607464e-06,-1.3290487278183881e-06,-1.7532199124235824e-07,0.02136295663320087,-0.15993176244801566,-0.08536064874092325,43.586709801022224,46.31258424043454,46.99121789138799,0.009363999999999996,0.009367100000000003,0.009367400000000007,0.009374340000000007,0.009364154999999996,0.009372,2.6,0.009373,14.140571,0.009374,24.023,0.009375,2.343928,0.009377,0.021357,0.009356,6.095915,0.00935,0.021357,0.009347,2.6,0.009346,20.427003,0.009345,27.495307
LTC-BTC,2019-07-20T10:51:16,2019-07-20T10:52:16,1563619876,1563619936,0.009364,0.009362,0.009362,0.009359,181.975079,55.585269,126.38981,42,0.00937867964345811,0.009355120356541905,0.00936615873403084,0.009370135151823722,0.009371368844696398,-1.7003887646700744e-06,-1.4033167351887255e-06,-2.9707202948134887e-07,-0.04270766602603883,-0.14931740614334602,-0.03203416978109483,38.00119969202571,44.111122689274204,46.09174425040554,0.009363999999999996,0.009365400000000003,0.009366900000000008,0.009373640000000006,0.009364184999999997,0.009372,5.2,0.009374,24.023,0.009375,0.021363,0.009377,2.3426,0.009378,5.648,0.009348,5.958931,0.009347,0.021363,0.009346,21.836446,0.009345,25.092103,0.009344,2.403333
LTC-BTC,2019-07-20T10:52:16,2019-07-20T10:53:16,1563619936,1563619996,0.009362,0.009364,0.009364,0.009361,184.233523,97.708162,86.525361,46,0.009378669898476728,0.009355030101523285,0.009365953140313618,0.009369894557634557,0.009371222926979636,-1.6750423472450954e-06,-1.4576618575999994e-06,-2.1738048964509593e-07,-0.0106780565936921,-0.05336748852598779,0.032047858134828175,46.26446304646945,46.86642760359414,47.147398057290154,0.009363599999999996,0.009364200000000003,0.009366850000000006,0.009372960000000007,0.009364234999999997,0.009373,0.001328,0.009374,24.023,0.009377,2.3426,0.009378,2.621356,0.009379,5.648,0.009356,3.28,0.009354,2.886622,0.00935,2.621356,0.009346,20.427003,0.009345,26.426076
LTC-BTC,2019-07-20T10:53:16,2019-07-20T10:54:16,1563619996,1563620056,0.009364,0.009366,0.009366,0.009359,165.093065,70.486735,94.60633,52,0.009378622152576675,0.009355577847423338,0.009365957603140893,0.009369741829884183,0.009371119502683009,-1.4765510817724842e-06,-1.4614397024344965e-06,-1.51113793379877e-08,0.03204101249598986,0,0.05341309689135559,53.67375420653458,49.57818786371634,48.20575258205084,0.009363799999999997,0.009363900000000003,0.009367100000000007,0.009372320000000005,0.009364284999999997,0.009375,0.001328,0.009377,4.9426,0.009379,24.023,0.00938,0.021349,0.009381,2.925286,0.009359,3.28,0.009356,3.108425,0.009352,0.021349,0.009351,27.001771,0.00935,26.424793
LTC-BTC,2019-07-20T10:54:16,2019-07-20T10:55:16,1563620056,1563620116,0.009366,0.009372,0.009372,0.009359,127.915108,24.213325,103.701783,38,0.009379003853971234,0.009356296146028776,0.009366533069508427,0.009369830385575,0.009371136938273444,-8.255787104574641e-07,-1.33426750403909e-06,5.08688793581626e-07,0.08543357539512308,0.1175088131609934,0.14960461637102077,69.04119995128636,56.79472520175589,51.260997929984455,0.009365599999999996,0.009364500000000003,0.009367650000000005,0.009371800000000005,0.009364379999999997,0.009372,2.6,0.009374,24.023,0.009377,2.3426,0.009378,0.021354,0.00938,0.758931,0.009359,3.267275,0.009355,3.096841,0.00935,0.021354,0.009348,2.6,0.009347,2.402434
LTC-BTC,2019-07-20T10:55:16,2019-07-20T10:56:16,1563620116,1563620176,0.009372,0.009367,0.009367,0.009365,200.23068026,103.31217226,96.918508,47,0.00937856709128651,0.009357632908713501,0.009366577539079053,0.009369719390062255,0.009371055018703674,-7.050097162886876e-07,-1.2084159464890097e-06,5.034062302003221e-07,0.05340739158299291,0.05340739158299291,0.021356113187402728,51.84354378985261,50.25583265372441,48.7599063896603,0.009366199999999996,0.009365100000000005,0.009368100000000006,0.009371120000000005,0.009364459999999996,0.009374,26.623,0.009375,0.001328,0.009376,3.959999,0.009377,2.3467,0.009379,6.885285,0.009361,3.28,0.009357,3.302284,0.009351,0.021353,0.009349,2.402178,0.009348,2.6
LTC-BTC,2019-07-20T10:56:16,2019-07-20T10:57:16,1563620176,1563620236,0.009367,0.009366,0.009366,0.009359,103.567022,43.332493,60.234529,31,0.009378566813332307,0.009357733186667704,0.00936652253535724,0.009369573531628442,0.009370954919323401,-6.822846101289803e-07,-1.103189679217004e-06,4.209050690880236e-07,0.02135839384876688,0,-0.06402048655570632,48.91905328155275,49.024354702222354,48.268411576228814,0.009366999999999997,0.009365500000000004,0.009368150000000006,0.009370480000000004,0.009364534999999995,0.009373,5.201328,0.009374,24.023,0.009377,2.368056,0.009379,3.959999,0.009382,5.648,0.009359,3.28,0.009354,3.023189,0.009349,0.021356,0.009347,2.402563,0.009346,30.476267
